id_show,Generos
67070.0,Drama
253.0,Sci-Fi & Fantasy
253.0,Drama
4336.0,Animation
4336.0,Comedy
42671.0,Animation
42671.0,Sci-Fi & Fantasy
42671.0,Drama
56296.0,Drama
56296.0,Sci-Fi & Fantasy
76719.0,Sci-Fi & Fantasy
76719.0,Drama
107113.0,Comedy
107113.0,Mystery
107113.0,Crime
86423.0,Sci-Fi & Fantasy
86423.0,Drama
86423.0,Mystery
72750.0,Crime
72750.0,Drama
115004.0,Drama
115004.0,Mystery
115004.0,Crime
87689.0,Action & Adventure
87689.0,Drama
87689.0,Sci-Fi & Fantasy
62017.0,Sci-Fi & Fantasy
62017.0,Drama
1891.0,Action & Adventure
1891.0,Drama
65708.0,Drama
65708.0,Mystery
71024.0,Animation
71024.0,Sci-Fi & Fantasy
900.0,Drama
900.0,Comedy
79680.0,Sci-Fi & Fantasy
31268.0,Crime
31268.0,Drama
13027.0,Soap
10283.0,Comedy
10283.0,Action & Adventure
10283.0,Animation
604.0,Animation
604.0,Action & Adventure
96648.0,Drama
96648.0,Sci-Fi & Fantasy
82739.0,Animation
82739.0,Comedy
82739.0,Mystery
17610.0,Action & Adventure
17610.0,Drama
17610.0,Crime
17610.0,Mystery
34967.0,Action & Adventure
34967.0,Sci-Fi & Fantasy
5451.0,Action & Adventure
5451.0,Drama
1431.0,Crime
1431.0,Drama
1431.0,Mystery
61175.0,Animation
61175.0,Comedy
61175.0,Action & Adventure
61175.0,Family
61175.0,Sci-Fi & Fantasy
90027.0,Sci-Fi & Fantasy
18011.0,Comedy
18011.0,Family
62823.0,Drama
62823.0,Crime
62823.0,Mystery
61459.0,Animation
61459.0,Drama
61459.0,Sci-Fi & Fantasy
61459.0,Action & Adventure
124834.0,Drama
94305.0,Drama
94305.0,Sci-Fi & Fantasy
94305.0,Mystery
80986.0,Sci-Fi & Fantasy
80986.0,Action & Adventure
80986.0,Drama
90937.0,Animation
90937.0,Drama
90937.0,Mystery
61852.0,Comedy
61852.0,Family
61852.0,Kids
63407.0,Soap
63407.0,Comedy
63407.0,Drama
105009.0,Drama
105009.0,Animation
105009.0,Action & Adventure
105009.0,Crime
41727.0,Crime
41727.0,Drama
1104.0,Drama
31072.0,Comedy
83100.0,Animation
83100.0,Action & Adventure
69061.0,Sci-Fi & Fantasy
69061.0,Mystery
69061.0,Drama
70828.0,Drama
70828.0,Crime
7842.0,Animation
7842.0,Comedy
7842.0,Kids
7842.0,Family
4574.0,Kids
4574.0,Sci-Fi & Fantasy
4574.0,Animation
4574.0,Action & Adventure
66203.0,Soap
66203.0,Kids
73481.0,Comedy
73481.0,Drama
64230.0,Sci-Fi & Fantasy
64230.0,Mystery
64230.0,Drama
90669.0,Mystery
90669.0,Drama
62650.0,Drama
2352.0,Comedy
105248.0,Action & Adventure
105248.0,Animation
105248.0,Sci-Fi & Fantasy
102966.0,Drama
102966.0,Comedy
86248.0,Comedy
86248.0,Sci-Fi & Fantasy
4658.0,Family
4658.0,Comedy
4658.0,Drama
62914.0,Comedy
62914.0,Drama
81354.0,Mystery
81354.0,Drama
81354.0,Crime
6040.0,Animation
6040.0,Sci-Fi & Fantasy
6040.0,Action & Adventure
33217.0,Animation
33217.0,Sci-Fi & Fantasy
33217.0,Action & Adventure
93740.0,Sci-Fi & Fantasy
93740.0,Drama
71738.0,Drama
71738.0,Comedy
71738.0,Sci-Fi & Fantasy
67075.0,Animation
67075.0,Action & Adventure
67075.0,Comedy
1778.0,Drama
1778.0,Comedy
68267.0,Family
68267.0,Animation
68267.0,Action & Adventure
68267.0,Comedy
68267.0,Sci-Fi & Fantasy
83097.0,Animation
83097.0,Mystery
83097.0,Sci-Fi & Fantasy
83097.0,Action & Adventure
83097.0,Drama
83097.0,Crime
5178.0,Drama
1215.0,Comedy
1215.0,Drama
605.0,Comedy
605.0,Family
605.0,Sci-Fi & Fantasy
605.0,Kids
