id_show,Companias_Produccion
79501.0, Warner Bros. Television
79501.0, Jeremy Carver Productions
79501.0, DC Entertainment
21510.0,Fox Television Studios
21510.0, Jeff Eastin & Warrior George Productions
85720.0,21 Laps Entertainment
85720.0, Chronology
85720.0, Loom Studios
126280.0,De Milo
128839.0,Keshet Studios
128839.0, Universal Television
79788.0,White Rabbit
79788.0, Warner Bros. Television
57706.0,Studio Deen
58450.0,sin informacion
115857.0,Perro Azul
4589.0,Imagine Television
4589.0, The Hurwitz Company
4589.0, 20th Century Fox Television
4589.0, Dakota Pictures
47665.0,Quaker Moving Pictures
47665.0, Platinum Dunes
47665.0, Film Afrika
96462.0,Studio Dragon
2490.0,Talkback Thames
2490.0, Channel 4 Television
80623.0,TMS Entertainment
83095.0,Kinema Citrus
83095.0, Good Smile Company
83095.0, Nippon Columbia
83095.0, Glovision
83095.0, NTT Plala
83095.0, Frontier Works
83095.0, Sammy
83095.0, DR Movie
83095.0, Kadokawa Media House
83095.0, Crunchyroll
4616.0,Renaissance Pictures
80968.0,Gaumont
80968.0, Gaumont International Television
54671.0,Neal Street Productions
54671.0, Desert Wolf Productions
45815.0,Estúdios Globo
82596.0,MTV Entertainment Studios
82596.0, Jax Media
82596.0, Darren Star Productions
74016.0,Fuqua Films
74016.0, 20th Century Fox Television
74016.0, 3 Arts Entertainment
4327.0,Thames Television
4327.0, Tiger Television Productions
4327.0, Tiger Aspect
65844.0,Studio Deen
65844.0, KADOKAWA
65844.0, Drive
79525.0,ESPN Films
79525.0, Jump 23
79525.0, Mandalay Sports Media
79525.0, NBA Entertainment
60863.0,Production I.G
60863.0, MBS
60863.0, Rakuonsha
60863.0, TOHO MUSIC
60863.0, TOHO
42444.0,Toei Animation
120168.0,sin informacion
54650.0,G-Unit Film & Television
54650.0, Mawuli Productions
54650.0, Atmosphere Television
54650.0, CBS Studios
54650.0, Anthony Hemingway Productions
2384.0,Universal Television
2384.0, Glen A. Larson Productions
67070.0,Two Brothers Pictures
253.0,Desilu Productions
253.0, Paramount Television Studios
4336.0,Rough Draft Studios
4336.0, Comedy Central
4336.0, Double Hemm
