id_show,Paises_Produccion
4624.0,United States of America
92983.0,Morocco
92983.0,Portugal
92983.0,South Korea
72636.0,Japan
2692.0,United States of America
106600.0,South Korea
790.0,United Kingdom
60728.0,Japan
66025.0,United States of America
77532.0,Turkey
66676.0,United States of America
269.0,United States of America
7246.0,United Kingdom
99626.0,United States of America
33025.0,Canada
33025.0,United States of America
77341.0,United States of America
46080.0,Russia
4324.0,United States of America
93392.0,United States of America
504.0,United States of America
99779.0,Japan
99779.0,South Korea
99779.0,United States of America
2362.0,United States of America
4184.0,Mexico
99310.0,United States of America
14956.0,sin informacion
44606.0,Canada
26453.0,Japan
97860.0,Japan
97860.0,South Korea
97860.0,United States of America
7695.0,Mexico
1649.0,sin informacion
3868.0,United States of America
61387.0,United States of America
46922.0,United States of America
24835.0,Japan
79611.0,Canada
84231.0,United States of America
91875.0,United States of America
16961.0,Colombia
16961.0,United States of America
16961.0,United Kingdom
2119.0,United States of America
2407.0,United States of America
102085.0,Mexico
102085.0,Turks and Caicos Islands
61929.0,sin informacion
32895.0,sin informacion
112160.0,Japan
2566.0,United States of America
38464.0,Japan
83478.0,United States of America
66008.0,United States of America
1712.0,United States of America
2022.0,United States of America
33852.0,Canada
87083.0,United States of America
1018.0,sin informacion
112162.0,United States of America
4515.0,United States of America
1401.0,sin informacion
68202.0,Brazil
1618.0,United States of America
58811.0,Canada
58811.0,United States of America
61014.0,sin informacion
100698.0,United States of America
73987.0,United States of America
98178.0,United States of America
42503.0,Japan
90630.0,Mexico
99799.0,United Kingdom
99799.0,United States of America
15826.0,United States of America
21409.0,Japan
18341.0,Mexico
745.0,United Kingdom
40143.0,Japan
7317.0,sin informacion
118956.0,United States of America
1719.0,sin informacion
34105.0,Japan
58710.0,Mexico
15632.0,United States of America
1667.0,United States of America
88989.0,United States of America
96608.0,United Kingdom
72597.0,United States of America
111119.0,Puerto Rico
12598.0,Japan
32910.0,United States of America
92592.0,Japan
123566.0,Russia
64387.0,United States of America
67166.0,Argentina
59375.0,United States of America
72296.0,Japan
46849.0,Germany
34742.0,sin informacion
34408.0,South Korea
32868.0,Canada
32868.0,United States of America
39525.0,Australia
39525.0,United States of America
2530.0,United Kingdom
1663.0,sin informacion
66185.0,United States of America
21641.0,sin informacion
83103.0,Japan
61838.0,United States of America
1908.0,United States of America
44807.0,Turkey
7311.0,Colombia
1759.0,sin informacion
9907.0,United States of America
288.0,sin informacion
2429.0,United States of America
39859.0,United States of America
72339.0,United States of America
12961.0,Mexico
2617.0,United States of America
185.0,United States of America
17035.0,sin informacion
2947.0,sin informacion
58928.0,United Kingdom
58928.0,United States of America
113962.0,United States of America
103086.0,Colombia
70513.0,United States of America
3793.0,sin informacion
19654.0,sin informacion
100087.0,Colombia
60930.0,Turkey
31941.0,United States of America
19253.0,Japan
92137.0,Italy
92137.0,Mexico
92137.0,Morocco
92137.0,Senegal
92137.0,United States of America
109470.0,Mexico
14658.0,United Kingdom
14658.0,United States of America
9051.0,Colombia
73944.0,South Korea
28379.0,sin informacion
1567.0,United States of America
65931.0,Japan
85273.0,United States of America
45501.0,Japan
4455.0,United States of America
1835.0,United States of America
