id_show,Canales
68129.0,tv asahi
11721.0,Las Estrellas
33765.0,Discovery Family
33765.0, Hub Network
9160.0,tv asahi
111141.0,Netflix
61389.0,sin informacion
2046.0,ABC
117488.0,Showtime
85922.0,Netflix
48462.0,SBS
45140.0,Cartoon Network
64710.0,BS11
64710.0, Tokyo MX
64710.0, MBS
64710.0, TV Aichi
64710.0, BS Fuji
90282.0,Apple TV+
111499.0,Pantaya
111499.0, ViX
4620.0,Syfy
79434.0,tvN
35753.0,Chiba TV
35753.0, AT-X
106292.0,Netflix
94796.0,Netflix
94796.0, tvN
15655.0,NBC
849.0,BBC One
79141.0,iQiyi
79141.0, Youku
79141.0, bilibili
79141.0, Tencent Video
64684.0,BBC One
4238.0,CBS
66190.0,Freeform
88640.0,Hulu
1558.0,ABC
12965.0,Las Estrellas
1432.0,UPN
1432.0, The CW
1432.0, Hulu
87763.0,Antena 3
87763.0, Atresplayer Premium
99581.0,Netflix
14929.0,CBC Television
2131.0,MTV
63145.0,Tokyo MX
2913.0,Nickelodeon
2913.0, YTV
2913.0, Family Channel
88803.0,YouTube
88803.0, NHK G
88803.0, Tokyo MX
88803.0, BS11
88803.0, GBS
61752.0,sin informacion
62649.0,NBC
58981.0,Nickelodeon
7458.0,Caracol TV
96777.0,Netflix
125988.0,Apple TV+
83631.0,FX
93785.0,Netflix
70637.0,AT-X
6782.0,Toon Disney
86034.0,AT-X
62858.0,USA Network
65648.0,TBS
65648.0, BS-TBS
65648.0, MBS
65648.0, CBC
65648.0, AT-X
65648.0, Animax Asia
63764.0,Telemundo
84452.0,Netflix
4743.0,Antena 3
2405.0,Cartoon Network
87527.0,Netflix
32218.0,Las Estrellas
2260.0,Network Ten
81046.0,Netflix
62822.0,Channel 4
2122.0,FOX
49011.0,CBS
42916.0,TV Tokyo
42916.0, TV Osaka
67389.0,MBS
82809.0,Telemundo
15621.0,HBO
121.0,BBC One
107124.0,Hulu
5835.0,FOX
5835.0, YTV
5835.0, Fox Kids
79818.0,Hunan Television
88061.0,AT-X
71715.0,NBC
83596.0,Univision
83596.0, Las Estrellas
45783.0,MBS
141.0,NBC
1126.0,G4
71769.0,TNT
46928.0,Disney Junior
45016.0,SVT1
45016.0, DR1
2140.0,CBS
123249.0,Gunma TV
123249.0, Tokyo MX
